path,emotion
data/audio\sample_0.wav,neutral
data/audio\sample_1.wav,neutral
data/audio\sample_2.wav,neutral
data/audio\sample_3.wav,neutral
data/audio\sample_4.wav,neutral
data/audio\sample_5.wav,neutral
data/audio\sample_6.wav,neutral
data/audio\sample_7.wav,neutral
data/audio\sample_8.wav,neutral
data/audio\sample_9.wav,neutral
data/audio\sample_10.wav,neutral
data/audio\sample_11.wav,neutral
data/audio\sample_12.wav,happy
data/audio\sample_13.wav,happy
data/audio\sample_14.wav,happy
data/audio\sample_15.wav,happy
data/audio\sample_16.wav,happy
data/audio\sample_17.wav,happy
data/audio\sample_18.wav,happy
data/audio\sample_19.wav,happy
data/audio\sample_20.wav,sad
data/audio\sample_21.wav,sad
data/audio\sample_22.wav,sad
data/audio\sample_23.wav,sad
data/audio\sample_24.wav,sad
data/audio\sample_25.wav,sad
data/audio\sample_26.wav,sad
data/audio\sample_27.wav,sad
data/audio\sample_28.wav,angry
data/audio\sample_29.wav,angry
data/audio\sample_30.wav,angry
data/audio\sample_31.wav,angry
data/audio\sample_32.wav,angry
data/audio\sample_33.wav,angry
data/audio\sample_34.wav,angry
data/audio\sample_35.wav,angry
data/audio\sample_36.wav,fear
data/audio\sample_37.wav,fear
data/audio\sample_38.wav,fear
data/audio\sample_39.wav,fear
data/audio\sample_40.wav,fear
data/audio\sample_41.wav,fear
data/audio\sample_42.wav,fear
data/audio\sample_43.wav,fear
data/audio\sample_44.wav,disgust
data/audio\sample_45.wav,disgust
data/audio\sample_46.wav,disgust
data/audio\sample_47.wav,disgust
data/audio\sample_48.wav,disgust
data/audio\sample_49.wav,disgust
data/audio\sample_50.wav,disgust
data/audio\sample_51.wav,disgust
data/audio\sample_52.wav,surprised
data/audio\sample_53.wav,surprised
data/audio\sample_54.wav,surprised
data/audio\sample_55.wav,surprised
data/audio\sample_56.wav,surprised
data/audio\sample_57.wav,surprised
data/audio\sample_58.wav,surprised
data/audio\sample_59.wav,surprised
data/audio\sample_60.wav,neutral
data/audio\sample_61.wav,neutral
data/audio\sample_62.wav,neutral
data/audio\sample_63.wav,neutral
data/audio\sample_64.wav,neutral
data/audio\sample_65.wav,neutral
data/audio\sample_66.wav,neutral
data/audio\sample_67.wav,neutral
data/audio\sample_68.wav,neutral
data/audio\sample_69.wav,neutral
data/audio\sample_70.wav,neutral
data/audio\sample_71.wav,neutral
data/audio\sample_72.wav,happy
data/audio\sample_73.wav,happy
data/audio\sample_74.wav,happy
data/audio\sample_75.wav,happy
data/audio\sample_76.wav,happy
data/audio\sample_77.wav,happy
data/audio\sample_78.wav,happy
data/audio\sample_79.wav,happy
data/audio\sample_80.wav,sad
data/audio\sample_81.wav,sad
data/audio\sample_82.wav,sad
data/audio\sample_83.wav,sad
data/audio\sample_84.wav,sad
data/audio\sample_85.wav,sad
data/audio\sample_86.wav,sad
data/audio\sample_87.wav,sad
data/audio\sample_88.wav,angry
data/audio\sample_89.wav,angry
data/audio\sample_90.wav,angry
data/audio\sample_91.wav,angry
data/audio\sample_92.wav,angry
data/audio\sample_93.wav,angry
data/audio\sample_94.wav,angry
data/audio\sample_95.wav,angry
data/audio\sample_96.wav,fear
data/audio\sample_97.wav,fear
data/audio\sample_98.wav,fear
data/audio\sample_99.wav,fear
data/audio\sample_100.wav,fear
data/audio\sample_101.wav,fear
data/audio\sample_102.wav,fear
data/audio\sample_103.wav,fear
data/audio\sample_104.wav,disgust
data/audio\sample_105.wav,disgust
data/audio\sample_106.wav,disgust
data/audio\sample_107.wav,disgust
data/audio\sample_108.wav,disgust
data/audio\sample_109.wav,disgust
data/audio\sample_110.wav,disgust
data/audio\sample_111.wav,disgust
data/audio\sample_112.wav,surprised
data/audio\sample_113.wav,surprised
data/audio\sample_114.wav,surprised
data/audio\sample_115.wav,surprised
data/audio\sample_116.wav,surprised
data/audio\sample_117.wav,surprised
data/audio\sample_118.wav,surprised
data/audio\sample_119.wav,surprised
data/audio\sample_120.wav,neutral
data/audio\sample_121.wav,neutral
data/audio\sample_122.wav,neutral
data/audio\sample_123.wav,neutral
data/audio\sample_124.wav,neutral
data/audio\sample_125.wav,neutral
data/audio\sample_126.wav,neutral
data/audio\sample_127.wav,neutral
data/audio\sample_128.wav,neutral
data/audio\sample_129.wav,neutral
data/audio\sample_130.wav,neutral
data/audio\sample_131.wav,neutral
data/audio\sample_132.wav,happy
data/audio\sample_133.wav,happy
data/audio\sample_134.wav,happy
data/audio\sample_135.wav,happy
data/audio\sample_136.wav,happy
data/audio\sample_137.wav,happy
data/audio\sample_138.wav,happy
data/audio\sample_139.wav,happy
data/audio\sample_140.wav,sad
data/audio\sample_141.wav,sad
data/audio\sample_142.wav,sad
data/audio\sample_143.wav,sad
data/audio\sample_144.wav,sad
data/audio\sample_145.wav,sad
data/audio\sample_146.wav,sad
data/audio\sample_147.wav,sad
data/audio\sample_148.wav,angry
data/audio\sample_149.wav,angry
data/audio\sample_150.wav,angry
data/audio\sample_151.wav,angry
data/audio\sample_152.wav,angry
data/audio\sample_153.wav,angry
data/audio\sample_154.wav,angry
data/audio\sample_155.wav,angry
data/audio\sample_156.wav,fear
data/audio\sample_157.wav,fear
data/audio\sample_158.wav,fear
data/audio\sample_159.wav,fear
data/audio\sample_160.wav,fear
data/audio\sample_161.wav,fear
data/audio\sample_162.wav,fear
data/audio\sample_163.wav,fear
data/audio\sample_164.wav,disgust
data/audio\sample_165.wav,disgust
data/audio\sample_166.wav,disgust
data/audio\sample_167.wav,disgust
data/audio\sample_168.wav,disgust
data/audio\sample_169.wav,disgust
data/audio\sample_170.wav,disgust
data/audio\sample_171.wav,disgust
data/audio\sample_172.wav,surprised
data/audio\sample_173.wav,surprised
data/audio\sample_174.wav,surprised
data/audio\sample_175.wav,surprised
data/audio\sample_176.wav,surprised
data/audio\sample_177.wav,surprised
data/audio\sample_178.wav,surprised
data/audio\sample_179.wav,surprised
data/audio\sample_180.wav,neutral
data/audio\sample_181.wav,neutral
data/audio\sample_182.wav,neutral
data/audio\sample_183.wav,neutral
data/audio\sample_184.wav,neutral
data/audio\sample_185.wav,neutral
data/audio\sample_186.wav,neutral
data/audio\sample_187.wav,neutral
data/audio\sample_188.wav,neutral
data/audio\sample_189.wav,neutral
data/audio\sample_190.wav,neutral
data/audio\sample_191.wav,neutral
data/audio\sample_192.wav,happy
data/audio\sample_193.wav,happy
data/audio\sample_194.wav,happy
data/audio\sample_195.wav,happy
data/audio\sample_196.wav,happy
data/audio\sample_197.wav,happy
data/audio\sample_198.wav,happy
data/audio\sample_199.wav,happy
data/audio\sample_200.wav,sad
data/audio\sample_201.wav,sad
data/audio\sample_202.wav,sad
data/audio\sample_203.wav,sad
data/audio\sample_204.wav,sad
data/audio\sample_205.wav,sad
data/audio\sample_206.wav,sad
data/audio\sample_207.wav,sad
data/audio\sample_208.wav,angry
data/audio\sample_209.wav,angry
data/audio\sample_210.wav,angry
data/audio\sample_211.wav,angry
data/audio\sample_212.wav,angry
data/audio\sample_213.wav,angry
data/audio\sample_214.wav,angry
data/audio\sample_215.wav,angry
data/audio\sample_216.wav,fear
data/audio\sample_217.wav,fear
data/audio\sample_218.wav,fear
data/audio\sample_219.wav,fear
data/audio\sample_220.wav,fear
data/audio\sample_221.wav,fear
data/audio\sample_222.wav,fear
data/audio\sample_223.wav,fear
data/audio\sample_224.wav,disgust
data/audio\sample_225.wav,disgust
data/audio\sample_226.wav,disgust
data/audio\sample_227.wav,disgust
data/audio\sample_228.wav,disgust
data/audio\sample_229.wav,disgust
data/audio\sample_230.wav,disgust
data/audio\sample_231.wav,disgust
data/audio\sample_232.wav,surprised
data/audio\sample_233.wav,surprised
data/audio\sample_234.wav,surprised
data/audio\sample_235.wav,surprised
data/audio\sample_236.wav,surprised
data/audio\sample_237.wav,surprised
data/audio\sample_238.wav,surprised
data/audio\sample_239.wav,surprised
data/audio\sample_240.wav,neutral
data/audio\sample_241.wav,neutral
data/audio\sample_242.wav,neutral
data/audio\sample_243.wav,neutral
data/audio\sample_244.wav,neutral
data/audio\sample_245.wav,neutral
data/audio\sample_246.wav,neutral
data/audio\sample_247.wav,neutral
data/audio\sample_248.wav,neutral
