path,emotion
data/processed/audio\sample_0.wav,neutral
data/processed/audio\sample_1.wav,neutral
data/processed/audio\sample_2.wav,neutral
data/processed/audio\sample_3.wav,neutral
data/processed/audio\sample_4.wav,neutral
data/processed/audio\sample_5.wav,neutral
data/processed/audio\sample_6.wav,neutral
data/processed/audio\sample_7.wav,neutral
data/processed/audio\sample_8.wav,neutral
data/processed/audio\sample_9.wav,neutral
data/processed/audio\sample_10.wav,neutral
data/processed/audio\sample_11.wav,neutral
data/processed/audio\sample_12.wav,happy
data/processed/audio\sample_13.wav,happy
data/processed/audio\sample_14.wav,happy
data/processed/audio\sample_15.wav,happy
data/processed/audio\sample_16.wav,happy
data/processed/audio\sample_17.wav,happy
data/processed/audio\sample_18.wav,happy
data/processed/audio\sample_19.wav,happy
data/processed/audio\sample_20.wav,sad
data/processed/audio\sample_21.wav,sad
data/processed/audio\sample_22.wav,sad
data/processed/audio\sample_23.wav,sad
data/processed/audio\sample_24.wav,sad
data/processed/audio\sample_25.wav,sad
data/processed/audio\sample_26.wav,sad
data/processed/audio\sample_27.wav,sad
data/processed/audio\sample_28.wav,angry
data/processed/audio\sample_29.wav,angry
data/processed/audio\sample_30.wav,angry
data/processed/audio\sample_31.wav,angry
data/processed/audio\sample_32.wav,angry
data/processed/audio\sample_33.wav,angry
data/processed/audio\sample_34.wav,angry
data/processed/audio\sample_35.wav,angry
data/processed/audio\sample_36.wav,fear
data/processed/audio\sample_37.wav,fear
data/processed/audio\sample_38.wav,fear
data/processed/audio\sample_39.wav,fear
data/processed/audio\sample_40.wav,fear
data/processed/audio\sample_41.wav,fear
data/processed/audio\sample_42.wav,fear
data/processed/audio\sample_43.wav,fear
data/processed/audio\sample_44.wav,disgust
data/processed/audio\sample_45.wav,disgust
data/processed/audio\sample_46.wav,disgust
data/processed/audio\sample_47.wav,disgust
data/processed/audio\sample_48.wav,disgust
data/processed/audio\sample_49.wav,disgust
data/processed/audio\sample_50.wav,disgust
data/processed/audio\sample_51.wav,disgust
data/processed/audio\sample_52.wav,surprised
data/processed/audio\sample_53.wav,surprised
data/processed/audio\sample_54.wav,surprised
data/processed/audio\sample_55.wav,surprised
data/processed/audio\sample_56.wav,surprised
data/processed/audio\sample_57.wav,surprised
data/processed/audio\sample_58.wav,surprised
data/processed/audio\sample_59.wav,surprised
data/processed/audio\sample_60.wav,neutral
data/processed/audio\sample_61.wav,neutral
data/processed/audio\sample_62.wav,neutral
data/processed/audio\sample_63.wav,neutral
data/processed/audio\sample_64.wav,neutral
data/processed/audio\sample_65.wav,neutral
data/processed/audio\sample_66.wav,neutral
data/processed/audio\sample_67.wav,neutral
data/processed/audio\sample_68.wav,neutral
data/processed/audio\sample_69.wav,neutral
data/processed/audio\sample_70.wav,neutral
data/processed/audio\sample_71.wav,neutral
data/processed/audio\sample_72.wav,happy
data/processed/audio\sample_73.wav,happy
data/processed/audio\sample_74.wav,happy
data/processed/audio\sample_75.wav,happy
data/processed/audio\sample_76.wav,happy
data/processed/audio\sample_77.wav,happy
data/processed/audio\sample_78.wav,happy
data/processed/audio\sample_79.wav,happy
data/processed/audio\sample_80.wav,sad
data/processed/audio\sample_81.wav,sad
data/processed/audio\sample_82.wav,sad
data/processed/audio\sample_83.wav,sad
data/processed/audio\sample_84.wav,sad
data/processed/audio\sample_85.wav,sad
data/processed/audio\sample_86.wav,sad
data/processed/audio\sample_87.wav,sad
data/processed/audio\sample_88.wav,angry
data/processed/audio\sample_89.wav,angry
data/processed/audio\sample_90.wav,angry
data/processed/audio\sample_91.wav,angry
data/processed/audio\sample_92.wav,angry
data/processed/audio\sample_93.wav,angry
data/processed/audio\sample_94.wav,angry
data/processed/audio\sample_95.wav,angry
data/processed/audio\sample_96.wav,fear
data/processed/audio\sample_97.wav,fear
data/processed/audio\sample_98.wav,fear
data/processed/audio\sample_99.wav,fear
data/processed/audio\sample_100.wav,fear
data/processed/audio\sample_101.wav,fear
data/processed/audio\sample_102.wav,fear
data/processed/audio\sample_103.wav,fear
data/processed/audio\sample_104.wav,disgust
data/processed/audio\sample_105.wav,disgust
data/processed/audio\sample_106.wav,disgust
data/processed/audio\sample_107.wav,disgust
data/processed/audio\sample_108.wav,disgust
data/processed/audio\sample_109.wav,disgust
data/processed/audio\sample_110.wav,disgust
data/processed/audio\sample_111.wav,disgust
data/processed/audio\sample_112.wav,surprised
data/processed/audio\sample_113.wav,surprised
data/processed/audio\sample_114.wav,surprised
data/processed/audio\sample_115.wav,surprised
data/processed/audio\sample_116.wav,surprised
data/processed/audio\sample_117.wav,surprised
data/processed/audio\sample_118.wav,surprised
data/processed/audio\sample_119.wav,surprised
data/processed/audio\sample_120.wav,neutral
data/processed/audio\sample_121.wav,neutral
data/processed/audio\sample_122.wav,neutral
data/processed/audio\sample_123.wav,neutral
data/processed/audio\sample_124.wav,neutral
data/processed/audio\sample_125.wav,neutral
data/processed/audio\sample_126.wav,neutral
data/processed/audio\sample_127.wav,neutral
data/processed/audio\sample_128.wav,neutral
data/processed/audio\sample_129.wav,neutral
data/processed/audio\sample_130.wav,neutral
data/processed/audio\sample_131.wav,neutral
data/processed/audio\sample_132.wav,happy
data/processed/audio\sample_133.wav,happy
data/processed/audio\sample_134.wav,happy
data/processed/audio\sample_135.wav,happy
data/processed/audio\sample_136.wav,happy
data/processed/audio\sample_137.wav,happy
data/processed/audio\sample_138.wav,happy
data/processed/audio\sample_139.wav,happy
data/processed/audio\sample_140.wav,sad
data/processed/audio\sample_141.wav,sad
data/processed/audio\sample_142.wav,sad
data/processed/audio\sample_143.wav,sad
data/processed/audio\sample_144.wav,sad
data/processed/audio\sample_145.wav,sad
data/processed/audio\sample_146.wav,sad
data/processed/audio\sample_147.wav,sad
data/processed/audio\sample_148.wav,angry
data/processed/audio\sample_149.wav,angry
data/processed/audio\sample_150.wav,angry
data/processed/audio\sample_151.wav,angry
data/processed/audio\sample_152.wav,angry
data/processed/audio\sample_153.wav,angry
data/processed/audio\sample_154.wav,angry
data/processed/audio\sample_155.wav,angry
data/processed/audio\sample_156.wav,fear
data/processed/audio\sample_157.wav,fear
data/processed/audio\sample_158.wav,fear
data/processed/audio\sample_159.wav,fear
data/processed/audio\sample_160.wav,fear
data/processed/audio\sample_161.wav,fear
data/processed/audio\sample_162.wav,fear
data/processed/audio\sample_163.wav,fear
data/processed/audio\sample_164.wav,disgust
data/processed/audio\sample_165.wav,disgust
data/processed/audio\sample_166.wav,disgust
data/processed/audio\sample_167.wav,disgust
data/processed/audio\sample_168.wav,disgust
data/processed/audio\sample_169.wav,disgust
data/processed/audio\sample_170.wav,disgust
data/processed/audio\sample_171.wav,disgust
data/processed/audio\sample_172.wav,surprised
data/processed/audio\sample_173.wav,surprised
data/processed/audio\sample_174.wav,surprised
data/processed/audio\sample_175.wav,surprised
data/processed/audio\sample_176.wav,surprised
data/processed/audio\sample_177.wav,surprised
data/processed/audio\sample_178.wav,surprised
data/processed/audio\sample_179.wav,surprised
data/processed/audio\sample_180.wav,neutral
data/processed/audio\sample_181.wav,neutral
data/processed/audio\sample_182.wav,neutral
data/processed/audio\sample_183.wav,neutral
data/processed/audio\sample_184.wav,neutral
data/processed/audio\sample_185.wav,neutral
data/processed/audio\sample_186.wav,neutral
data/processed/audio\sample_187.wav,neutral
data/processed/audio\sample_188.wav,neutral
data/processed/audio\sample_189.wav,neutral
data/processed/audio\sample_190.wav,neutral
data/processed/audio\sample_191.wav,neutral
data/processed/audio\sample_192.wav,happy
data/processed/audio\sample_193.wav,happy
data/processed/audio\sample_194.wav,happy
data/processed/audio\sample_195.wav,happy
data/processed/audio\sample_196.wav,happy
data/processed/audio\sample_197.wav,happy
data/processed/audio\sample_198.wav,happy
data/processed/audio\sample_199.wav,happy
data/processed/audio\sample_200.wav,sad
data/processed/audio\sample_201.wav,sad
data/processed/audio\sample_202.wav,sad
data/processed/audio\sample_203.wav,sad
data/processed/audio\sample_204.wav,sad
data/processed/audio\sample_205.wav,sad
data/processed/audio\sample_206.wav,sad
data/processed/audio\sample_207.wav,sad
data/processed/audio\sample_208.wav,angry
data/processed/audio\sample_209.wav,angry
data/processed/audio\sample_210.wav,angry
data/processed/audio\sample_211.wav,angry
data/processed/audio\sample_212.wav,angry
data/processed/audio\sample_213.wav,angry
data/processed/audio\sample_214.wav,angry
data/processed/audio\sample_215.wav,angry
data/processed/audio\sample_216.wav,fear
data/processed/audio\sample_217.wav,fear
data/processed/audio\sample_218.wav,fear
data/processed/audio\sample_219.wav,fear
data/processed/audio\sample_220.wav,fear
data/processed/audio\sample_221.wav,fear
data/processed/audio\sample_222.wav,fear
data/processed/audio\sample_223.wav,fear
data/processed/audio\sample_224.wav,disgust
data/processed/audio\sample_225.wav,disgust
data/processed/audio\sample_226.wav,disgust
data/processed/audio\sample_227.wav,disgust
data/processed/audio\sample_228.wav,disgust
data/processed/audio\sample_229.wav,disgust
data/processed/audio\sample_230.wav,disgust
data/processed/audio\sample_231.wav,disgust
data/processed/audio\sample_232.wav,surprised
data/processed/audio\sample_233.wav,surprised
data/processed/audio\sample_234.wav,surprised
data/processed/audio\sample_235.wav,surprised
data/processed/audio\sample_236.wav,surprised
data/processed/audio\sample_237.wav,surprised
data/processed/audio\sample_238.wav,surprised
data/processed/audio\sample_239.wav,surprised
data/processed/audio\sample_240.wav,neutral
data/processed/audio\sample_241.wav,neutral
data/processed/audio\sample_242.wav,neutral
data/processed/audio\sample_243.wav,neutral
data/processed/audio\sample_244.wav,neutral
data/processed/audio\sample_245.wav,neutral
data/processed/audio\sample_246.wav,neutral
data/processed/audio\sample_247.wav,neutral
data/processed/audio\sample_248.wav,neutral
data/processed/audio\sample_249.wav,neutral
data/processed/audio\sample_250.wav,neutral
data/processed/audio\sample_251.wav,neutral
data/processed/audio\sample_252.wav,happy
data/processed/audio\sample_253.wav,happy
data/processed/audio\sample_254.wav,happy
data/processed/audio\sample_255.wav,happy
data/processed/audio\sample_256.wav,happy
data/processed/audio\sample_257.wav,happy
data/processed/audio\sample_258.wav,happy
data/processed/audio\sample_259.wav,happy
data/processed/audio\sample_260.wav,sad
data/processed/audio\sample_261.wav,sad
data/processed/audio\sample_262.wav,sad
data/processed/audio\sample_263.wav,sad
data/processed/audio\sample_264.wav,sad
data/processed/audio\sample_265.wav,sad
data/processed/audio\sample_266.wav,sad
data/processed/audio\sample_267.wav,sad
data/processed/audio\sample_268.wav,angry
data/processed/audio\sample_269.wav,angry
data/processed/audio\sample_270.wav,angry
data/processed/audio\sample_271.wav,angry
data/processed/audio\sample_272.wav,angry
data/processed/audio\sample_273.wav,angry
data/processed/audio\sample_274.wav,angry
data/processed/audio\sample_275.wav,angry
data/processed/audio\sample_276.wav,fear
data/processed/audio\sample_277.wav,fear
data/processed/audio\sample_278.wav,fear
data/processed/audio\sample_279.wav,fear
data/processed/audio\sample_280.wav,fear
data/processed/audio\sample_281.wav,fear
data/processed/audio\sample_282.wav,fear
data/processed/audio\sample_283.wav,fear
data/processed/audio\sample_284.wav,disgust
data/processed/audio\sample_285.wav,disgust
data/processed/audio\sample_286.wav,disgust
data/processed/audio\sample_287.wav,disgust
data/processed/audio\sample_288.wav,disgust
data/processed/audio\sample_289.wav,disgust
